问题,答案
1. 死后接引进入白光隧道，这个催眠策略是什么？,1. 在人死后，会见到上帝、佛 陀、天使、自己的亲人等等，来接引灵魂，指引进入白光隧道，进入下一世轮回，灵魂从而被清除记忆，继续轮回转世。
2. 仇恨或感情，这个催眠策略是什么？,2. 利用这一世产生的个人恩怨和感情羁绊来诱导你进入轮回；比如：你跟某人还有缘分，需要重新投胎再续前缘；你的仇人这一世对你这么狠，下一次安排你复仇。
3. 使命感，这个催眠策略是什么？,3. 说你是天选之子，要拯救苍生，苍生拯救不完你不能走；说你是志愿者，当初自愿来帮助地球的，任务没完成绝不能走；说你是注定要普渡众生的上师，要来带领人们觉醒，人类不醒你不能走。
4. 救赎，这个催眠策略是什么？,4. 灵魂被捕捉后，会把个体一 生的片段进行回放，其中有很多事件会让 个体感到非常遗憾和内疚，从而无法原谅 自己，最终促成个体再次轮回寻找救赎。 如果这招效果不好，那么 T组会用业力 威逼，加重个体的罪恶感，从而形成恐惧， 觉得轮回是唯一解脱罪孽的途径。具体执 行根据个体的漏洞进行细化。
5. 假空派，这个催眠策略是什么？,5. 假空派认定一切都是空， 不承认“有” ，以及两者关系的存在。本身 就是一个漏洞，在假空的固若金汤的体 系下，受苦是空，轮回是空，T组是空， 最终变成自己轮回也没所谓了，反正都 是空，即使记忆被消除，最终也能回到 空的境界，如果自己对轮回有顾虑，就 证明自己还没有达到空的境界，那么就 更应该去轮回继续接受修炼。T组主要抓住假空派这个漏洞，进行洗脑。【举例】： T：你已证得本源，时时刻刻都是空，是 吗？ 个体：是的 T：就是说去哪都是空，已经没有什么能 让你着相了？ 个体：是的 T：那么去轮回吧 个体：额......... T：你犹豫了，证明还有相，如果处处都 是空，那么轮回也是空，根本难不倒你， 是吗? 个体：嗯 T：在这里是空，在人间也是空，无所执 着，无所畏惧，这样才能证明你安于本 源，时时刻刻都是空，我说的对吗？ 个体：有道理，问一下，你是元吾氏所 提及的 T组吗？ T：T组也是空，不存在，我就是你，都 是本源 个体：嗯嗯，明白了 
6. 地球是个学校，这个催眠策略是什么？,6. 地球是个学校，我们进来是为了进化和提升自己的，我们需要完成所有的课题，才能顺利毕业。
7. 爱好上瘾，这个催眠策略是什么？,7. 对自己的爱好过于热衷，为了爱好可以把其他东西全抛开，如果做不好就会很难受或者感到很失落。如果有人提出意见就会有很大的反感情绪。觉得爱好是自己的一生所求，是精神的支柱
8. 得道无趣论，这个催眠策略是什么？,8. 认为得道者人生一点意思也没有，无欲无求，对任何事都没有喜好和情绪，对异性也会没了感觉，无聊透顶；还是普通人有意思，爱恨交加，乐趣无穷。
9. 信息匮乏焦虑，这个催眠策略是什么？,9. 通过铺天盖地的灵性信息和知识，让人陷入好奇的追逐中，不断追逐灵性信息，生怕错过了什么重要内容。用很多被带偏的信息来掩盖真正重要的信息，或者让人无暇实修。
10. 不断重复强化潜意识，这个催眠策略是什么？,10. 通过不断重复某个概念，让这个概念慢慢的深入潜意识，形成潜意识倾向。【举例】比如很多传统思想，社会标准， 一些新闻、广告等等。
