问题,答案,
举例说明自动化程度高的表现,举个例子：老师出了一个题，自动化程度高的学生会谋求标准答案（能拿满分的答案）,
举例说明自主化程度高的表现,举个例子：老师出了一个题，自主化程度高的学生会根据自己的理解去答题，会思考我为什么要回答，如何回答，这个过程我能学到什么，有没有一些我所忽略的地方等。,
和人来往经常说谢谢是自动化程度高的表现吗,这里的“谢谢”更多是能量平衡的表达吧，本身是基于能量交流的实际情况， 是有前提条件的,
如何自测自动化程度,如果自测，建议更多从意识的惯性层面寻找，举个例子，有些人倾向做机械式的 工作，机械式的思维，机械式的行为习惯，机械式的思考和判断，机械式条件反射和情绪触发（在 纪录片《轮回》这样的镜头特别多），只要细心留意，这种自动化模式的人在身边就有很多，就像 游戏里面的 NPC 一样（参考电影《失控玩家》），行为模式也非常容易预判。当然保留一些自动化 对日常生活和工作还是有帮助的，如驾驶车辆和重复性比较大的工作等,
自主化程度的表现有哪些,自主化程度的部分表现： 1-经常觉察自己的行为，并进行总结，反省，修正； 2-看待事情，不容易被表象迷惑，探索其中的本质，并寻找规律，提炼要点； 3-遇到事情，先了解再判断； 4-追求更多的选择，更自由的体验； 5-因地制宜，将计就计，灵活变通； 6-不容易随波逐流，有独立的思考和分析；梦境是很好的一种自我检验，在梦境，自主化强的人，会对梦境所呈现的逆境进行反击，而不是盲目逃避 或者陷入重复性的焦虑，而飞行梦、失重梦等也会经常在梦中出现。,
自动化程序的表现有哪些,自动化程序的部分表现： 1-模式化的线性行为，缺乏觉察意识，基本处于“阅”（体验）后即忘的状态，经验也处于停滞， 没有升级意愿。 2-习惯性预判，通过某些预设的触发条件进行自动化判断和归类。 3-思维模式和条件反射呈现公式化，简单化，容易产生同理心，容易被煽动和控制，具体如破窗效 应，羊群效应等。4-意识焦点容易被锁定，与周围事物联动性小，延伸发展为麻木性的意识焦点，对身边的事物毫不 关心，对自己被攻击的状态也变得反应迟钝。 意识程序固化，对外部信息的反应 表现为迟缓，麻木，并以教条化，单一化的去接收和过滤信息，即使自身感到不适或者受损也逆来顺受，自我安慰，整体自由意识已经边缘化，甚至消失。自动化程度高，倾向于程序化，模式化，逻辑化，往往喜欢用“经验”去建立一套可复制的AI运行系统。梦境是很好的一种自我检验，在梦境，自动化都会被放大数倍，自己的行为反应和思维模式会变得 随波逐流，情绪也容易被触发。,
在梦境中的自动化表现是怎样的,梦境是很好的一种自我检验，在梦境，自动化都会被放大数倍，自己的行为反应和思维模式会变得随波逐流，情绪也容易被触发。,
在梦境中的自主化表现是怎样的,梦境是很好的一种自我检验，在梦境，自主化强的人，会对梦境所呈现的逆境进行反击，而不是盲目逃避 或者陷入重复性的焦虑，而飞行梦、失重梦等也会经常在梦中出现,
如何区分一个人在日常生活中的自动化和自主化表现,举个栗子，老司机开车上班，边开车边聊天，开车是自动化，聊天是自主化，此刻， 老司机发现前面堵车，将计就计选择一条新的路来走，此刻是自主化，新路刚建成，没有导航，老 司机不得不小心翼翼的开车，怕错过路口，这个时候是自主化，当这条新路走多了，老司机对路况 越来越熟练，这个时候开始进入自动化。 补充：表现自动化程度高：倾向于程序化，模式化，逻辑化，往往喜欢用“经验”去建立一套可复 制的 AI 运行系统。,
哪些是自动化，哪些是自主化。请举例说明,举个栗子，老司机开车上班，边开车边聊天，开车是自动化，聊天是自主化，此刻， 老司机发现前面堵车，将计就计选择一条新的路来走，此刻是自主化，新路刚建成，没有导航，老司机不得不小心翼翼的开车，怕错过路口，这个时候是自主化，当这条新路走多了，老司机对路况越来越熟练，这个时候开始进入自动化。 补充：表现自动化程度高：倾向于程序化，模式化，逻辑化，往往喜欢用“经验”去建立一套可复 制的 AI 运行系统。,
