问题,答案
第4区第1部分先天自我开发程度举例,比如：某个体前世是钢琴家，前前世是科学家，那么这两个技能在今生能否得到延续？能延续多少？两种技能各自的开发程度会否带来冲突或者促进？这些数值及影响可以比喻为个体的先天自我开发程度。再比如：你之前开越野车，后来开公路车，现在你想换新车，为了在不同路况中取得平衡，那么到底需要买什么类型的车，这车如何选配，如何加装配件......而这些配置可以比喻为先天配置，然后汽车出厂落地后，在你往后的驾驶中，如何使用和调校才能释放出汽车原本最大的性能，这些也可以比喻为个体的先天自我开发程度。
关于左右脑的先天开发和整体协调性的程度，有什么电影可以推荐吗,有部电影《超体》和《永无止境》比较有趣，作为类似的参考，可以看看
第4区第1部分的左右脑平衡度中，我左右脑就很不平衡。个人体验多用直觉和感性思维，少主观逻辑思考，可以改善吗？,调整阈值呗，左脑开发程度相对失衡，可以多增加左脑的开发程度，提高理性的部分，如分析，推理，逻辑，计算能力等。
如何自己去觉察自己左脑发达还是右脑发达,可以观察自己平时看问题的角度，是偏向感性，还是偏向理性？平衡度高的话，就是两者相互结合。平衡度高，两者就不会产生对抗，并且能互相促进
举个日常生活的例子，怎么才是左右脑平衡的做法,准备搬到一个新的地方居住，偏右脑的会留意那个地方的环境，人文和舒适度等感觉；偏左脑的会留意那个地方的生活成本，邻居关系和周边配套等。结交一位陌生朋友，偏右脑的会留意对方第一感觉，聊天的舒适度；偏左脑的会留意对方的背景、动机和行为举止等。
右脑失衡是怎样的,缺乏感性，如直觉，图像思维等，如：一个是数学老师，一个是美术老师
如果左右脑的开发程度两个都缺，也算平衡？低层次平衡，也有碍灵性发展？,这里说的是平衡，至于开放度的多少是另一码事了
有时候偏向理性，有时候偏向感性，好像天平失衡一段后，又会滑去另一端。怎么办,"提高稳定性呗,还有一个是同步性"
关于左右脑平衡度方面，如何达到稳定性和同步性?,昨天分享的例子，个体前世是钢琴家，前前世是科学家，这其实就是右脑（感性）和左脑（理性）的例子。
第4区第1部分的左脑开发程度中，不知分值是不是类似于智商？,我觉得用“智商”来比喻左脑开发程度不太恰当吧，更多是一种偏理性的思想模式（思想模块），如观察会更注重条理性，整合性，延展性，以及各信息元素之间的联动关系。
