问题,答案
第一区中央区是如何与其他区进行沟通和相互作用的？感觉第一区的检测点都是比较宏观的，其他区的好像是微观层面的拆解。,分区，是研究角度的不同，而不是物理分区。换言之：是同一个意识的不同角度。
各个测试点数值如何得出整个区域的代表值，乃至如何得出最终意识强度值，加权平均法？,是。
是否第一区检测点，是相互协作，纵横交错。或者是串连式的。三个检测点或者多个连在一起，有一个被中断，程序需要重新以事件串连。,各自独立、相互协作、纵横交错式。
自动化程度和反应固化程度是否是高度重合（高度相似）且互相影响的？,是。
1）如何区分在与他人沟通的过程中是基于心智翻译还是实际经验呢？2）会不会基于实际经验的沟通，有很大一部分也是需要心智模式来翻译给对方？,第2。
因看过您之前的文章提到要避免做寄生虫，我理解的是物质界也要工作养家，养活自己。而第一区检测点7里提到不劳作享受认可度，有点迷惑。（对于有的人不劳作有可能因为懒，或者逃避社会，没有遇到感兴趣的事做，或者不劳作也能养活自己，或者另一半给予了享受生活保障，无需打拼，是否如上也是寄生虫）如何区分寄生虫和享受认可。,寄生虫是完全依赖别人生存。享受可以是靠自己生存，只是不故意找累，把工作和享受平等对待，做工作的主人而不做工作的奴隶。这两个不是一回事。
心智模式或者原始程序设定是只安装在复合体结构的所有体上？还是包括驱动灵呢？,复合体。驱动灵也可能有。
进入心智控制程序的后台是不是催醒法？,是。
我工作原因没什么时间学习，我只看了第一区意识强度，其它区还没学习，我最大的感受就是，最近意识破幻能力增强了许多，还找到了一些被植入或者说是程序化的意识点，比如身体觉得不舒服，就想到很累，因为昨晚睡得不好，就要躺下休息…我发现了意识自动连带性帮我找出了一连串不舒服的的原因，以及处理方式。我告诉自己，不舒服跟他们没有半毛关系，跟自己也没有关系，他只是个觉受，被我定义为不舒服…我找到诸多这样的意识点。1、我想问这种连带性的意识就是自动化吗？2、自动化如何转入自主化？3、自己如何辨别意识是自动化还是自主化？,1）是。2）从逻辑意识转入自由意识。3）是固定模式（自动连带性）还是自由意识。
第一区第四检测点意识专注程度是指意识能达到的最大专注程度，还是指意识始终保持的专注程度，如果是后者，那有些情况下意识需要分散以全面感知环境情况该怎么办?,都不是，而是需要的时候。
目前我对于心智模式是采用静观觉察的方法来发现的，觉察自己的漏洞，觉察自己的固有程序，发现了之后会渐渐的自动发酵出解决办法，如何有针对性的主动去破解这些机器人程序,觉察是不是每一个意识都是自由意识，而不是某种程序。
每个检测点自我提升最高效的方法是什么？,合一本源。
意识分散度作为一个衡量意识强度的指标，越分散则这个意识强度值越低，那么，修炼意识散开这种方法（我合一本源常用），会否导致意识散开从而意识强度降低呢？,合一本源是意识纯净态，与分散没有关系。该分散时分散，该专注时专注，可以任意切换控制，才能意识强度高。这个“意识分散程度vs专注程度”检测点，是指：该专注时，做不到专注的意思。
去除机器人心智控制程序的方法是什么？,觉察是不是每一个意识都是自由意识，而不是某种程序。
关于第一区的这些心智程序：1）是被种植在DNA里还是种植在灵体意识里？2）如果种植在DNA里的程序，我们该怎么破解呢？3）种植在意识里的程序是不是可以通过反向意识（逻辑之类）来化解？4）如果3不成立，是不是仅能用（观）来化解。,1）灵体为主，DNA为辅。2）下一篇博文回答这个问题。3）不能，逻辑也是一种程序意识。4）只有自由意识才能化解。用自由意识来观，可以化解。用固化意识来观，也不能化解。
怎样识别某个内部信息是来自心智系统还是潜意识？脱离心智系统与潜意识直接沟通是一种怎样的状态？,1）潜意识也有心智系统。2）潜意识同时具有心智系统和自由意识，与潜意识沟通不等于脱离心智系统。
1）20世纪人类的心智模式与5000年前的人类心智模式整体上是否有不同，是自动化控制增加了还是减少了，还是没有变化？2）自动模式不是千篇一律的，个体的差异有多有少？3）每个个体是否都后期修改100%的自由模式。也就是人人皆佛！,1）没有不同，自动化控制系统稍有升级（增加）。2）差异取决于个体意识强度。3）相反，越来越不自由。催眠系统的技术不断升级，觉醒越来越难。
所有检测都是围绕机器与自由意志来测试的，个体身上的机器程序是T植入的吗，如何去掉？,基本程序不是，是灵体机器人型号原始自带的，与T组无关。T组只是追加和修改了一些机器程序。
