问题,答案
意识强度检测点第五区是什么？,左方区：旧有惯性区
什么是左方区：旧有惯性区,分为两大部分： 一、心智惯性部分。 二、潜意识惯性部分。心智惯性部分指今生程序设定以及环境影响带来的心智程序中，对自己产生意识惯性的部分。
意识强度检测点的第5区有多少个检测点,算上小部分9个：思维惯性、行为反应惯性、情绪反应惯性、流动性方面、延展性方面、分化性方面、原发保留程度、继发程度、诱导性的影响程度。小点56个。一共65个检测点
意识强度检测点，第五区的检测点分别是什么,第一部分：心智惯性部分 一、思维惯性。 1、传统观念的影响。 2、社会舆论的影响。 3、学校教育的影响。 4、家庭环境的影响。 5、人生新阶段的变化影响。 6、个体突发转折事件的影响。 二、行为反应惯性。 1、常规事件反应模式 2、意外事件反应模式 3、创新型反应模式。 4、绝望型反应模式。 三、情绪反应惯性 1、愤怒模式。 2、内疚、自责模式。 3、嫉妒模式。 4、羞愧模式。 5、恐惧、害怕模式。 6、焦虑、担忧模式。 7、自卑、悲观模式。 8、自负、傲慢模式。 第二大部分、潜意识惯性部分 一、流动性方面。 1、思想惯性流动性。 2、情绪惯性流动性。 3、惯性阈限流动性 4、惯性核心流动性。 5、单一惯性流动性。 6、多惯性组合流动性。 7、浅层惯性流动性。 8、中层惯性流动性。 9、深层惯性流动性，  二、延展性方面。 1、延展稳定性。 2、延展范围性。 3、延展灵活性。 4、延展深度性。 5、延展细化性。 6、延展差异性。 三、分化性方面。 1、分化稳定性。 2、分化细致性。 3、分化弱化性。 4、分化组合性。 5、分化流动性。 6、分化柔和性。 四、原发保留程度 1、数量原发程度。 2、形态原发程度。 3、品质原发程度。 4、循环原发程度。 五、继发程度。 1、数量继发程度。 2、形态继发程度。 3、品质继发程度。 4、循环继发程度。 六、诱导性的影响程度。 1、心智程序的影响。 2、催眠波的影响。 3、催眠植入物的影响。 4、其它功能植入物的影响。 5、影响的深度。 6、影响的广度。 7、影响的强度。 8、影响的变异度。 9、诱导手段的统合性。
意识强度检测点的左方区：旧有惯性区有哪几大部分,分为两大部分： 一、心智惯性部分。 二、潜意识惯性部分。
介绍意识强度检测点五区心智惯性部分,第一部分：心智惯性部分 今生程序设定以及环境影响带来的心智程序中，对自己产生意识惯性的部分。    分为三个小部分： 一、思维惯性。 二、行为反应惯性。 三、情绪反应惯性。   
介绍意识强度检测点五区潜意识惯性部分,潜意识惯性部分   分为六个小部分： 一、流动性方面。 二、延展性方面。 三、分化性方面。  四、原发保留程度。 五、继发程度。 六、诱导性的影响程度。
心智惯性部分有哪些小部分,分为三个小部分： 一、思维惯性。 二、行为反应惯性。 三、情绪反应惯性。 
潜意识惯性部分有哪些小部分？,分为六个小部分： 一、流动性方面。 二、延展性方面。 三、分化性方面。  四、原发保留程度。 五、继发程度。 六、诱导性的影响程度。
思维惯性这个小部分有哪些小点,思维惯性这个小部分，下分6个小点： 1、传统观念的影响。 2、社会舆论的影响。 3、学校教育的影响。 4、家庭环境的影响。 5、人生新阶段的变化影响。 6、个体突发转折事件的影响。
行为反应惯性这个小部分有哪些小点,行为反应惯性这个小部分，下分4个小点：1、常规事件反应模式 2、意外事件反应模式 3、创新型反应模式。 4、绝望型反应模式。
情绪反应惯性这个小部分有哪些小点,情绪反应惯性这个小部分，下分8个小点：1、愤怒模式。 2、内疚、自责模式。 3、嫉妒模式。 4、羞愧模式。 5、恐惧、害怕模式。 6、焦虑、担忧模式。 7、自卑、悲观模式。 8、自负、傲慢模式。
流动性方面这个小部分有哪些小点,下分9个小点：1、思想惯性流动性。 2、情绪惯性流动性。 3、惯性阈限流动性 4、惯性核心流动性。 5、单一惯性流动性。 6、多惯性组合流动性。 7、浅层惯性流动性。 8、中层惯性流动性。 9、深层惯性流动性， 
延展性方面这个小部分有哪些小点,下分6个小点：1、延展稳定性。 2、延展范围性。 3、延展灵活性。 4、延展深度性。 5、延展细化性。 6、延展差异性。
分化性方面这个小部分有哪些小点,下分6个小点：1、分化稳定性。 2、分化细致性。 3、分化弱化性。 4、分化组合性。 5、分化流动性。 6、分化柔和性。
原发保留程度这个小部分有哪些小点,下分4个小点：1、数量原发程度。 2、形态原发程度。 3、品质原发程度。 4、循环原发程度。
继发程度这个小部分有哪些小点,下分4个小点：1、数量继发程度。 2、形态继发程度。 3、品质继发程度。 4、循环继发程度。
诱导性的影响程度这个小部分有哪些小点,下分9个小点：1、心智程序的影响。 2、催眠波的影响。 3、催眠植入物的影响。 4、其它功能植入物的影响。 5、影响的深度。 6、影响的广度。 7、影响的强度。 8、影响的变异度。 9、诱导手段的统合性。
什么是心智惯性部分,今生程序设定以及环境影响带来的心智程序中，对自己产生意识惯性的部分。分为三个小部分： 一、思维惯性。 二、行为反应惯性。 三、情绪反应惯性。 
什么是思维惯性,个体在思考过程中的倾向和惯性。 人类的思维模式都和观念有关，总是遵循一些特定的观点和信念。
思维惯性中传统观念的影响指什么,由国家、民族、地区等历史传承下来的传统观念，会对个体产生广泛和深远的思维惯性和主观标准。 
思维惯性中社会舆论的影响指什么,当前社会下的形势和舆论导向，会创建适应当前社会的新观念、新标准，被个体吸收或归纳到原有思维体系中去，成为新的意识惯性。    其实，是换汤不换药，和传统观念没多大区别，只是更新一部分标准，继续束缚人类而已。     和社会洗脑体系是一体的：让人类以为社会在发展，观念在更新在进步的假象。 这个也是T组*催眠策略之一：之前的标准，人类受不了了，就进行更新，推出新的升级版，宣传这是更科学、更合理、更人性化的标准，这是社会进步的标志……等等。     在历史上，T组会根据人类新的觉醒趋势，随时更新出“新标准”。 目前，新标准很快就要推出，已经有一些类似的在传播了。 新的整套标准非常棒，听起来十分振奋人心，简直是人类里程碑般的发展。 新标准的升级，目前还没有完全成型，还在逐步完善中。
思维惯性中学校教育的影响指什么,学校会宣扬或倡导某些理想化观念和行为规范，提倡学生们去遵守和执行。      大部分学校的教导都会在社会中慢慢淡化，基本上只有20-40%左右的核心内容，能被学生们所真正消化和纳入思想体系中。 其实这样的比例，对于教育洗脑来说，已经足够了。
思维惯性中家庭环境的影响指什么,家庭的成长环境，父母或者养育者的个性和观念，都会对个体产生一定程度的影响。
思维惯性中人生新阶段的变化影响指什么,个体在成长过程中，会有一些人生的新阶段，如工作、结婚、生子、养老等等，心态也会产生变化，会自动搜集新的标准和程序来武装自己。这些标准大部分都不是更新的，而是额外增加的，会给个体心态带来一定的负担和压力。   
思维惯性中个体突发转折事件的影响指什么,个体在成长过程中突发的一些意外挫折，造成人生较大的转折事件，给个体心态造成一定冲击，也会影响先前固有的思维方式和观念。    转折之后，个体会抛弃一部分旧有观念，去寻求一些适合自己状况的新观念，进行补充。  
什么是行为反应惯性,个体遇到事件时，受心智程序所影响的惯性行为反应。    这种是个体从自己的观念体系出发，认为自己应当如何应对事件，基本上较为理性，是属于从自己角度看起来正确的应对方式。   
行为反应惯性中常规事件反应模式 指什么,是人类普遍会遇到的，个体已有思想准备和应对方式的一些普遍典型的常规事件。
行为反应惯性中意外事件反应模式 指什么,指个体遇到的非常规事件或意外事件，自己需要重新思考，该如何对事件作出反应。
行为反应惯性中创新型反应模式指什么,指个体在原有观念不变的情况下，为了自身利益，而去改变自己的应对方式。    产生新的应对方式后，个体会感觉自己像是改变了，变得更加成熟。 这种模式很具有迷惑性，其实也是换汤不换药。  这个也是T组催眠策略之一：把人类的关注点，放在通过不同的“行为模式”，去达成自己的目的。    这方面的洗脑文章非常多，教导人们用各种技巧和手段，来维护自己固有的观念，达成相应的目的。  这个催眠策略是尽量覆盖多角度，从多角度围攻的模式。 这种催眠模式也在心理学领域中存在影响：让人们以为自己突破了固化观念，发展了创新，其实只是学习了更多自我催眠的方法和技巧，本质上还是换汤不换药。 也像一个人整天换新衣服，却不洗澡。
行为反应惯性中绝望型反应模式 指什么,指个体遇到某些事件，无法采取任何主动的应对措施来改变状况，只能被动接受，在绝望状态下采取的反应行为。 该反应和心智模式相关，也是属于个体观念系统中的，认为在此情况下，自己应该如何做。 例如：患绝症，一些人的观念会认为，这时候应该享受生活。 另一些人的观念会认为，这时候应该继续医治，死马当活马医。 还有一些的观念会认为，这时候要报复社会...等等。    其它情况也有很多，比如离别、破产、打官司或者环境影响等等。 事件越重大，头脑心智对个体的影响就越小。 不那么严重的时候，个体多半还会采取头脑处理模式。
什么是情绪反应惯性,指个体在事件中认为自己应该有的正当情绪。    比如：有人说自己坏话，自己就应该愤怒。有人要离开，自己应该不舍。看到别人受苦，自己应该难受等等。    人的情绪，有时候也会被心智操控，确实产生了自己认为应该有的情绪。    主要原理是靠头脑去识别、判定事件的性质，来激发自身相应的情绪模式。    例如：将一件事情识别为是对自己的冒犯，那么自己就会愤怒。  人类很多情绪，都是受这种头脑虚假识别所带来的。    这种也是属于催眠策略之一。   有一些在挑拨人与人之间的关系。比如：会有很多文章不停的教你，对方的这种行为的真实含义是什么，是在暗示什么，是在表达什么。一些行为你没有意识到，其实你被冒犯了，被越界了等等，个体看到后会感觉恍然大悟。其实，不说的话，自己也丝毫没有察觉。     现在甚至连一个表情，一个词语，你都被告知真实含义都是对方不爱理你等等。 这是一种有效的催眠策略，一种灌输方式，并且随着时代变化在不断更新升级。 （这里面大有文章。有兴趣的人，可以专门做一个研究课题。）
情绪反应惯性中愤怒模式指什么,最常见的模式，人类的愤怒情绪多半都由心智程序所引发。
情绪反应惯性中内疚、自责模式指什么,传统观念和社会标准中，已经让人们把一些特定事件识别为自己应该自责和内疚的，都是自己的错。 当发生一些事件而个体未能处理得当，便会引发内疚和自责的情绪。
情绪反应惯性中嫉妒模式指什么,由于比较，自己无法达到社会平均标准，对达标或者高于社会标准的个体，会产生敌视感。这种情绪构成很复杂，但激发却很简单。是情绪操控中常用的手段之一。   该情绪属于容易陷进去，不容易拔出来。并且可以长期稳定地存在于个体中，持续对人造成影响。类似定时炸弹，是引发连锁负面情绪很好用的导火线。
情绪反应惯性中羞愧模式指什么,在一些场合中认为自己表现不当，让人感到尴尬和困窘，会让自己难以忘怀，感觉丢人。   这种情绪会降低自信心，造成人际关系的问题。
情绪反应惯性中恐惧、害怕模式指什么,受一些观念所影响，认为某些场景应该是很让人害怕的，所以自己会预先产生恐惧的心理。比如怕黑、怕鬼、怕人借钱等等。
情绪反应惯性中焦虑、担忧模式指什么,受社会环境影响，人为制造不安全感的概念，让人为自己的未来感到焦虑和担忧。
情绪反应惯性中自卑、悲观模式指什么,对人事物的看法较为消极，多数和自卑有关，对自我评价较低。人类基本都有感到自卑的地方。因为人无完人，这一点也是心智容易控制的地方。   控制模式：不断去通过各种比较，来强化个体的“弱点”，让人不自信，觉得自己不行，以此打击个体。
情绪反应惯性中自负、傲慢模式指什么,与自卑属于一对数值，互相同时影响个体。当个体自卑的时候就想通过自负去进行心态调节。属于两个极端，让人无法达成真正的平衡。
